loss,accuracy,val_loss,val_accuracy
1.0966176986694336,0.34964585304260254,1.0800565481185913,0.49473685026168823
1.0433052778244019,0.4652285873889923,0.9967559576034546,0.5276315808296204
1.0143420696258545,0.4859948456287384,0.9248310327529907,0.5855262875556946
0.9437031745910645,0.5381519794464111,0.8626010417938232,0.6118420958518982
0.88460773229599,0.5962653160095215,0.8396410346031189,0.6263157725334167
0.8162649869918823,0.6659690737724304,0.7692133784294128,0.7131578922271729
0.7381030321121216,0.714906632900238,0.6066532135009766,0.7881578803062439
0.6582006812095642,0.7540244460105896,0.562444269657135,0.7815789580345154
0.5949459075927734,0.7709272503852844,0.454367458820343,0.824999988079071
0.5455853343009949,0.7855762839317322,0.5422728061676025,0.7881578803062439
0.5182661414146423,0.7945911288261414,0.44488197565078735,0.8131579160690308
0.502370297908783,0.801996111869812,0.40339580178260803,0.8552631735801697
0.45330318808555603,0.8185769319534302,0.3483845889568329,0.8644737005233765
0.4804263114929199,0.8098840713500977,0.35725659132003784,0.8644737005233765
0.4270736873149872,0.8311333060264587,0.5181536078453064,0.8026315569877625
0.42290017008781433,0.8359626531600952,0.3687713146209717,0.8657894730567932
0.3757413327693939,0.8551191091537476,0.3071625232696533,0.8802631497383118
0.3805466890335083,0.8501287698745728,0.29447588324546814,0.8960526585578918
0.3792141377925873,0.8502897620201111,0.2541589140892029,0.8934210538864136
0.3747757375240326,0.8512556552886963,0.2815217971801758,0.8802631497383118
0.35612374544143677,0.8541532754898071,0.34374183416366577,0.8697368502616882
0.3301357924938202,0.8691242933273315,0.23509393632411957,0.9131578803062439
0.3283126950263977,0.8721828460693359,0.25459882616996765,0.8973684310913086
0.31180280447006226,0.8813586831092834,0.2750704288482666,0.9078947305679321
0.3135817050933838,0.8792659640312195,0.2478175312280655,0.9263157844543457
0.3039800226688385,0.8832904100418091,0.2128482162952423,0.9302631616592407
0.29779767990112305,0.8837733268737793,0.2419232875108719,0.9131578803062439
0.2920846939086914,0.8847392201423645,0.3333885967731476,0.8486841917037964
0.2735666036605835,0.8974565267562866,0.22638152539730072,0.9210526347160339
0.2660374641418457,0.8990663290023804,0.1896667331457138,0.9342105388641357
0.26313576102256775,0.8993882536888123,0.25587067008018494,0.9105263352394104
0.2689712941646576,0.8963297009468079,0.1957685947418213,0.9355263113975525
0.27701932191848755,0.8998712301254272,0.37118563055992126,0.8447368144989014
0.2587530314922333,0.9024468660354614,0.19132080674171448,0.932894766330719
0.23490889370441437,0.9096909165382385,0.22151796519756317,0.9263157844543457
