epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5740.07,0.83616,0.79929,1,0.7763,0.000475223,0.000475223,0.000475223
2,44368.7,0.57124,0.8753,1,0.42684,0.000763148,0.000763148,0.000763148
3,48780.4,0.47262,0.86698,1,0.38874,0.000862445,0.000862445,0.000862445
4,53385.6,0.35331,0.94418,1,0.16576,0.000580174,0.000580174,0.000580174
5,55503,0.292,0.95843,1,0.12998,0.000297232,0.000297232,0.000297232
