epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1690.92,0.29202,0.99287,1,0.0184,0.000475223,0.000475223,0.000475223
2,3074.31,0.05738,0.99525,1,0.01722,0.000763148,0.000763148,0.000763148
3,4486.19,0.05518,0.99287,1,0.03247,0.000862445,0.000862445,0.000862445
4,5807.36,0.02744,0.99762,1,0.00785,0.000580174,0.000580174,0.000580174
5,7078.15,0.03051,0.99881,1,0.00373,0.000297232,0.000297232,0.000297232
