binary_accuracy,loss,val_binary_accuracy,val_loss
0.5119929313659668,0.8530840873718262,0.36513158679008484,2.4101245403289795
0.5305859446525574,0.771743893623352,0.6526315808296204,0.7028950452804565
0.5501448512077332,0.764141857624054,0.6230263113975525,0.6786965727806091
0.5565840601921082,0.7449830770492554,0.34210526943206787,1.8260239362716675
0.5748551487922668,0.7207251191139221,0.41842105984687805,0.8743690848350525
0.5838699340820312,0.6981481909751892,0.4848684072494507,0.7609097957611084
0.5987604856491089,0.6894453167915344,0.5605263113975525,0.7136110663414001
0.6153412461280823,0.6747210621833801,0.63289475440979,0.6656660437583923
0.6141339540481567,0.6731570363044739,0.6506578922271729,0.6609187126159668
0.6256439089775085,0.6671568751335144,0.6322368383407593,0.6768797039985657
0.6303927898406982,0.6654142141342163,0.6302631497383118,0.6916570663452148
0.6337733268737793,0.6646799445152283,0.63289475440979,0.6770917177200317
0.637475848197937,0.6603090763092041,0.6401315927505493,0.6659372448921204
0.6422247290611267,0.6588900089263916,0.6421052813529968,0.6578707098960876
0.6414198279380798,0.6586953997612,0.6460526585578918,0.663820207118988
0.6441564559936523,0.6561205387115479,0.6499999761581421,0.6580747365951538
0.6463297009468079,0.6577817797660828,0.6381579041481018,0.74590003490448
0.6474565267562866,0.6535854935646057,0.6467105150222778,0.7066179513931274
0.6464101672172546,0.6541941165924072,0.6499999761581421,0.7020446062088013
0.6463297009468079,0.65412837266922,0.6486842036247253,0.6981467008590698
0.6468930840492249,0.6552087068557739,0.6486842036247253,0.6872230768203735
0.6489858627319336,0.6533550024032593,0.6499999761581421,0.6855968236923218
0.6479394435882568,0.6531810164451599,0.6513158082962036,0.6887694001197815
0.6485834121704102,0.6571144461631775,0.6486842036247253,0.7017475366592407
0.648905336856842,0.6526576280593872,0.6486842036247253,0.7259678840637207
