loss,accuracy,val_loss,val_accuracy
1.0652326345443726,0.4374561905860901,1.0435775518417358,0.49790793657302856
0.8415656685829163,0.6131744980812073,0.7800750136375427,0.6945606470108032
0.628462016582489,0.7373861074447632,0.8110195994377136,0.672245442867279
0.49033793807029724,0.8130694031715393,0.645229697227478,0.7963737845420837
0.36775636672973633,0.8666783571243286,0.603771448135376,0.7642956972122192
0.2994723618030548,0.8968114852905273,0.33734795451164246,0.8479776978492737
0.24254772067070007,0.9122284650802612,0.2673988938331604,0.8898186683654785
0.21687914431095123,0.9211632609367371,0.28037387132644653,0.8800557851791382
0.1936982125043869,0.9332515597343445,0.8277100324630737,0.7280334830284119
0.18871113657951355,0.9332515597343445,0.20738109946250916,0.9205020666122437
0.14991459250450134,0.9504204392433167,0.26001450419425964,0.8912134170532227
0.15392149984836578,0.9495444893836975,0.2808631956577301,0.9121338725090027
0.13494576513767242,0.9546250700950623,0.2766954004764557,0.8940027952194214
0.13770551979541779,0.9542747139930725,0.23637008666992188,0.9051603674888611
0.15789389610290527,0.9427120089530945,0.464893639087677,0.8633193969726562
0.12285052984952927,0.9579537510871887,0.20587855577468872,0.9177126884460449
0.11248835921287537,0.9642606973648071,0.31086570024490356,0.8898186683654785
0.09516899287700653,0.9642606973648071,0.2963697910308838,0.884239912033081
0.08854744583368301,0.9719691872596741,0.2816675901412964,0.8884239792823792
0.09006158262491226,0.9686405062675476,0.31396257877349854,0.8856346011161804
