epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5279.91,0.93164,0.8171,1,0.66882,0.000475223,0.000475223,0.000475223
2,10398.4,0.65061,0.85629,1,0.57889,0.000763148,0.000763148,0.000763148
3,17582.8,0.57273,0.86461,1,0.39855,0.000862445,0.000862445,0.000862445
4,25022.5,0.46154,0.9228,1,0.20578,0.000580174,0.000580174,0.000580174
5,28409.1,0.34836,0.95012,1,0.15825,0.000297232,0.000297232,0.000297232
